Institution_Name,Latitude,Longitude
Centre National de la Recherche Scientifique,45.7804582,4.874957
Airbus (India),28.5551233,77.0902097
Max Planck Institute for Plasma Physics,48.2631449,11.6720584
Max Planck Society,50.0934673,8.6513598
Washington University in St. Louis,38.6472402,-90.3084017
Central Michigan University,43.58355,-84.7746308
Indiana University South Bend,41.6659017,-86.2205351
University of Notre Dame,41.7045677,-86.2382203
Cancer Research UK,51.4622561,-0.2161428
Oxford Brookes University,51.755223,-1.230104
Imaging Center,52.3339514,4.8611226
University Medical Center Freiburg,48.0070218,7.837321
University of Freiburg,48.0070218,7.837321
Technical University of Denmark,55.7854145,12.5202151
Nanyang Technological University,1.3484104,103.6829332
Chulalongkorn University,13.7431114,100.5328752
Kyoto University,35.0270467,135.7814382
Xi'an Jiaotong University,34.2172159,108.937846
University of Twente,52.2425267,6.8567575
Satra (United Kingdom),52.4100016,-0.7482308
The Ohio State University,40.0056802,-83.0286612
University of North Carolina at Chapel Hill,35.9050354,-79.0477533
Cheng Shiu University,22.6492954,120.3500371
Kun Shan University,31.417489,120.8952325
CEA LETI,45.1952541,5.7061545
Institut polytechnique de Grenoble,45.1908798,5.7169733
CEA Grenoble,45.1996822,5.7031246
University of Toronto,43.6608141,-79.3960322
UCL Australia,-34.1674958,116.1444225
Cincinnati Children's Hospital Medical Center,39.1408448,-84.5022885
Johns Hopkins University,39.3302023,-76.6218536
Utrecht University,52.1592134,5.3799549
Imperial College London,51.4989595,-0.1756407
Mayo Clinic,-26.1505617,27.9197318
Karolinska Institutet,59.3515453,18.0310658
Universidade de São Paulo,-23.5652201,-46.712583
Georgia State University,33.7535889,-84.3854209
Durham University,54.7641282,-1.5863066
University of St Andrews,56.3398198,-2.8117937
Carnegie Mellon University,40.4441897,-79.9427192
Karlsruhe Institute of Technology,49.1018534,8.4331202
European Bioinformatics Institute,52.0799999,0.1861431
Max Planck Institute of Biochemistry,48.1044213,11.4594415
Wellcome Trust,51.5255433,-0.1348864
European Molecular Biology Laboratory,49.3851022,8.7100519
New York University,40.7292053,-73.9950148
Google (United States),42.35092,-71.0783603
University of Michigan,42.2942142,-83.7100389
Seattle University,47.6095043,-122.3187983
Microsoft (United States),37.3974949,-122.0842646
"University of California, Berkeley",33.6487724,-117.8364995
University of Washington,47.6554303,-122.3001692
Cornell University,42.4529076,-76.4800842
Pennsylvania State University,40.8025835,-77.8559383
Institute for Advanced Study,40.3322547,-74.6657877
University College London,51.5242031,-0.1330007
École des hautes études en sciences sociales,43.30088,5.3676145
Harvard University,42.3657432,-71.1222139
University of Oxford,33.6505419,-117.8270531
"University of California, San Diego",32.7545686,-117.1478549
University of Wisconsin–Madison,43.0802745,-89.4309587
California Department of Education,38.5738012,-121.4888575
Denison University,40.0730051,-82.5224859
Stellenbosch University,-33.9326212,18.8650551
Bioénergétique et Ingénierie des Protéines,43.2572003,5.407108
University of Cambridge,52.1890916,0.1212977
University of Hertfordshire,51.7517443,-0.2390498
Age UK,52.6222174,-1.1123324
"University of California, Irvine",33.649176,-117.8407644
UConn Health,41.7334454,-72.7923453
Keio University,35.5538164,139.6414098
California Institute of Technology,34.1370138,-118.1252883
University of Auckland,-36.8660955,174.7737331
"University of California, Davis",34.0202376,-118.2904702
Emory University,33.8004547,-84.3172378
"University of California, Riverside",33.9702033,-117.3320289
National Institute of Genetics,35.1183343,138.937797
University Hospitals of Cleveland,41.5060653,-81.6050813
Case Western Reserve University,41.501387,-81.6007022
Royal Museum for Central Africa,50.8293803,4.5177804
Université Libre de Bruxelles,50.8134718,4.3812357
Agnes Scott College,33.7688851,-84.2944452
Emory National Primate Research Center,33.8034194,-84.3188437
University of Ottawa,45.4225271,-75.6833904
National Research Council Canada,45.4426876,-75.618285
Stockholm University,59.366141,18.059593
Laboratoire de Biométrie et Biologie Evolutive,45.7808039,4.870432
Université Claude Bernard Lyon 1,45.7816645,4.8681545
University of Kansas,38.9535052,-95.263093
Swedish Museum of Natural History,59.3690466,18.0540033
Iowa State University,42.0279608,-93.6447375
Huazhong University of Science and Technology,30.5202172,114.4118463
Tzu Chi University,23.9942266,121.5892742
Buddhist Tzu Chi General Hospital,24.9852023,121.5370261
Universiti Teknologi Petronas,4.3827595,100.9701137
Petronas (Malaysia),5.0977941,100.4884187
University of Geneva,43.0437213,-76.1446327
Uppsala University,59.8576363,17.6294616
University of Virginia,38.0410576,-78.5055084
Supélec,48.8382313,2.311801
Électricité de France (France),43.2576404,5.4093161
Durham VA Medical Center,36.1634573,-115.1719488
University of Alabama at Birmingham,33.5016153,-86.8060476
Birmingham VA Medical Center,33.5042943,-86.801611
Duke Medical Center,36.0297621,-78.923546
Vanderbilt University Medical Center,36.1409238,-86.8016342
VA Tennessee Valley Healthcare System,36.141127,-86.8039453
Atlanta VA Medical Center,33.8018044,-84.3117
Duke University,36.0001557,-78.9442297
Icahn School of Medicine at Mount Sinai,40.789793,-73.9532536
Duke University Hospital,36.0070213,-78.9373479
Monash University,-37.7839745,144.9586743
Monash University Malaysia,3.0639234,101.6007834
Farnham Road Hospital,51.2356041,-0.5850232
University of East Anglia,52.6210623,1.2356187
University of Exeter,50.1701604,-5.1241802
Queen Elizabeth Hospital,22.3090315,114.1743499
Institutul Naţional de Cercetare-Dezvoltare in Construcţii Urbanism şi Dezvoltare Teritorială Durabilă,46.7565193,23.5475721
Chemnitz University of Technology,50.8142025,12.9293622
Technische Universität Dresden,51.0282765,13.7359828
Universidad de Antofagasta,-23.7029974,-70.4222161
Universitat Rovira i Virgili,41.1226832,1.2501587
Universitat de Lleida,41.6130756,0.6198337
Liverpool John Moores University,53.4123844,-2.980927
Université de Bordeaux,44.8096516,-0.5974013
Observatoire astronomique de Strasbourg,48.5833061,7.7679018
Osservatorio Astrofisico di Catania,37.5287766,15.0715752
Université de Strasbourg,48.5827618,7.7639551
Cardiff University,51.4887426,-3.1795999
Laboratoire d’Astrophysique de Marseille,43.343589,5.4366002
Chinese University of Hong Kong,22.4137195,114.2098955
Baidu (China),24.4978707,116.1954842
Manchester Metropolitan University,53.4694788,-2.2379823
Primary Health Care,41.5971803,-93.6212781
Institute of Occupational Medicine,55.9139926,-3.3246365
University of Manchester,53.4660226,-2.2330858
SRM Institute of Science and Technology,12.8234361,80.0450412
SRM University,28.7976827,77.5388854
University of Southampton,1.4299166,103.6121772
Environment Agency,50.8384158,-0.7543328
Loughborough University,52.763845,-1.2372582
Hacettepe University,39.8674482,32.7353845
Erciyes University,38.7073914,35.5337566
Institut Universitaire de France,45.1911392,5.7700458
University of Birmingham,52.4522956,-1.9312857
Université Lumière Lyon 2,45.7206314,4.9175834
University of Glasgow,1.3076892,103.7780353
University of Bristol,51.4905582,-2.6304825
Environmental Protection Agency,52.2955784,-6.5018763
McMaster University,43.2639397,-79.9178252
University of Kansas Medical Center,39.0571097,-94.6095438
Universität für Weiterbildung Krems,48.4078437,15.5863
Impact,32.5002189,-99.7461672
American University of Beirut,33.9000264,35.4823838
Kenya Medical Research Institute,-0.0779795,34.6773639
Bayer (United Kingdom),52.5396085,-2.0840294
